date,total_active_users
2026-03-27,348
2026-03-28,402
2026-03-29,542
2026-03-30,630
2026-03-31,694
2026-04-01,628
2026-04-02,542
2026-04-03,455
2026-04-04,555
2026-04-05,561
2026-04-06,428
2026-04-07,469
2026-04-08,489
2026-04-09,441
2026-04-10,479
2026-04-11,487
2026-04-12,433
2026-04-13,403
2026-04-14,408
2026-04-15,519
2026-04-16,471
2026-04-17,492
2026-04-18,865
2026-04-19,787
2026-04-20,615
2026-04-21,582
2026-04-22,518
2026-04-23,480
2026-04-24,541
2026-04-25,582
2026-04-26,741
2026-04-27,710
2026-04-28,606
2026-04-29,651
2026-04-30,600
2026-05-01,538
2026-05-02,452
2026-05-03,472
2026-05-04,535
2026-05-05,517
2026-05-06,497
2026-05-07,456
2026-05-08,398
2026-05-09,399
2026-05-10,430
2026-05-11,393
2026-05-12,388
2026-05-13,336
2026-05-14,379
2026-05-15,359
2026-05-16,330
2026-05-17,372
2026-05-18,350
2026-05-19,365
2026-05-20,337
2026-05-21,347
2026-05-22,331
2026-05-23,342
2026-05-24,367
2026-05-25,309
2026-05-26,311
2026-05-27,305
2026-05-28,331
2026-05-29,340
2026-05-30,421
2026-05-31,375
2026-06-01,403
2026-06-02,314
2026-06-03,311
2026-06-04,309
2026-06-05,289
2026-06-06,318
2026-06-07,286
2026-06-08,301
2026-06-09,298
2026-06-10,283
2026-06-11,278
2026-06-12,246
2026-06-13,305
2026-06-14,452
2026-06-15,351
2026-06-16,320
2026-06-17,281
2026-06-18,317
2026-06-19,262
2026-06-20,292
2026-06-21,270
2026-06-22,279
2026-06-23,335
2026-06-24,268
2026-06-25,326
2026-06-26,356
2026-06-27,303
2026-06-28,385
2026-06-29,395
2026-06-30,352
2026-07-01,358
2026-07-02,301
2026-07-03,278
2026-07-04,363
2026-07-05,342
2026-07-06,309
2026-07-07,324
2026-07-08,294
2026-07-09,316
2026-07-10,343
2026-07-11,375
2026-07-12,506
2026-07-13,380
2026-07-14,347
2026-07-15,372
2026-07-16,152
