region,activeUsers
Tokyo,2565
Osaka,636
Kanagawa,486
Hokkaido,332
Saitama,323
Aichi,279
Chiba,261
Fukuoka,187
Hyogo,138
Hiroshima,112
Miyagi,104
Shizuoka,101
Tochigi,101
Kyoto,99
Ibaraki,97
Niigata,88
Nagano,87
Mie,77
Gifu,75
Gunma,63
Okayama,60
Aomori,59
Fukushima,39
Kumamoto,38
Yamagata,38
Ehime,37
Iwate,33
Shimane,33
Toyama,33
Nara,32
Yamaguchi,30
Shiga,29
Ishikawa,27
Kagawa,26
Yamanashi,25
Fukui,21
Akita,20
Kagoshima,20
Wakayama,19
Saga,18
Nagasaki,17
Tottori,16
Miyazaki,15
Oita,14
Okinawa,12
Kochi,10
Tokushima,7
