country,activeUsers
Japan,6300
Netherlands,3336
United States,334
Taiwan,102
China,61
Hong Kong,38
South Korea,28
Colombia,27
Indonesia,27
Philippines,26
Malaysia,23
Brazil,16
Ecuador,15
Singapore,14
Vietnam,12
Canada,11
Australia,8
United Kingdom,8
Venezuela,8
Argentina,7
India,7
Thailand,7
Bangladesh,5
France,5
Chile,3
Germany,3
Panama,3
Spain,3
Ukraine,3
Mexico,2
New Zealand,2
Sweden,2
Albania,1
Barbados,1
Belarus,1
Bolivia,1
Costa Rica,1
Côte d’Ivoire,1
Ireland,1
Italy,1
Laos,1
Macao,1
Mayotte,1
Nepal,1
Poland,1
Puerto Rico,1
Russia,1
Saudi Arabia,1
Switzerland,1
United Arab Emirates,1
