region,lat,lon
Aichi,34.9991645,137.254574
Akita,39.6898802,140.342608
Aomori,40.886943,140.590121
Chiba,35.549399,140.2647303
Ehime,33.6013646,132.8185275
Fukui,35.9263502,136.6068127
Fukuoka,33.6251241,130.6180016
Fukushima,37.760777,140.4745807
Gifu,35.4230949,136.7627526
Gunma,36.52198,139.033483
Hiroshima,34.3917241,132.4517589
Hokkaido,43.4519831,142.8197834
Hyogo,34.914934,134.860666
Ibaraki,36.2869536,140.4703384
Ishikawa,36.9890574,136.8162839
Iwate,39.5713763,141.4253574
Kagawa,34.2480104,134.0586579
Kagoshima,31.521587,130.5474077
Kanagawa,35.4342935,139.374753
Kochi,33.5588482,133.5310918
Kumamoto,32.6450475,130.6341345
Kyoto,35.0115754,135.7681441
Mie,34.7339685,136.5154489
Miyagi,38.3880155,140.9761025
Miyazaki,32.097681,131.294542
Nagano,36.1143945,138.0319015
Nagasaki,33.1154683,129.7874339
Nara,34.6845445,135.8048359
Niigata,37.6452283,138.7669125
Oita,33.2393864,131.6096524
Okayama,34.8581334,133.7759256
Okinawa,26.5707754,128.0255901
Osaka,34.6937569,135.5014539
Saga,33.2185408,130.1296585
Saitama,35.9754168,139.4160114
Shiga,35.247154,136.109385
Shimane,34.9418212,132.537439
Shizuoka,34.9751974,138.3831697
Tochigi,36.6782167,139.8096549
Tokushima,33.9196418,134.2509634
Tokyo,35.6768601,139.7638947
Tottori,35.3555075,133.8678525
Toyama,36.6468015,137.2183531
Wakayama,33.8070292,135.5930743
Yamagata,38.4746705,140.083237
Yamaguchi,34.2379614,131.5873845
Yamanashi,35.6399328,138.6380495
