english,japanese
Afghanistan,アフガニスタン
Albania,アルバニア
Algeria,アルジェリア
Andorra,アンドラ
Angola,アンゴラ
Antigua and Barbuda,アンティグア・バーブーダ
Argentina,アルゼンチン
Armenia,アルメニア
Australia,オーストラリア
Austria,オーストリア
Azerbaijan,アゼルバイジャン
Bahamas,バハマ
Bahrain,バーレーン
Bangladesh,バングラデシュ
Barbados,バルバドス
Belarus,ベラルーシ
Belgium,ベルギー
Belize,ベリーズ
Benin,ベナン
Bhutan,ブータン
Bolivia,ボリビア
Bosnia and Herzegovina,ボスニア・ヘルツェゴビナ
Botswana,ボツワナ
Brazil,ブラジル
Brunei,ブルネイ
Bulgaria,ブルガリア
Burkina Faso,ブルキナファソ
Burundi,ブルンジ
Cambodia,カンボジア
Cameroon,カメルーン
Canada,カナダ
Cape Verde,カーボベルデ
Central African Republic,中央アフリカ共和国
Chad,チャド
Chile,チリ
China,中国
Colombia,コロンビア
Comoros,コモロ
Congo,コンゴ共和国
Costa Rica,コスタリカ
Croatia,クロアチア
Cuba,キューバ
Cyprus,キプロス
Czechia,チェコ
Denmark,デンマーク
Djibouti,ジブチ
Dominica,ドミニカ国
Dominican Republic,ドミニカ共和国
Ecuador,エクアドル
Egypt,エジプト
El Salvador,エルサルバドル
Equatorial Guinea,赤道ギニア
Eritrea,エリトリア
Estonia,エストニア
Eswatini,エスワティニ
Ethiopia,エチオピア
Fiji,フィジー
Finland,フィンランド
France,フランス
Gabon,ガボン
Gambia,ガンビア
Georgia,ジョージア
Germany,ドイツ
Ghana,ガーナ
Greece,ギリシャ
Grenada,グレナダ
Guatemala,グアテマラ
Guinea,ギニア
Guinea-Bissau,ギニアビサウ
Guyana,ガイアナ
Haiti,ハイチ
Honduras,ホンジュラス
Hungary,ハンガリー
Iceland,アイスランド
India,インド
Indonesia,インドネシア
Iran,イラン
Iraq,イラク
Ireland,アイルランド
Israel,イスラエル
Italy,イタリア
Jamaica,ジャマイカ
Japan,日本
Jordan,ヨルダン
Kazakhstan,カザフスタン
Kenya,ケニア
Kiribati,キリバス
Kuwait,クウェート
Kyrgyzstan,キルギス
Laos,ラオス
Latvia,ラトビア
Lebanon,レバノン
Lesotho,レソト
Liberia,リベリア
Libya,リビア
Liechtenstein,リヒテンシュタイン
Lithuania,リトアニア
Luxembourg,ルクセンブルク
Madagascar,マダガスカル
Malawi,マラウイ
Malaysia,マレーシア
Maldives,モルディブ
Mali,マリ
Malta,マルタ
Marshall Islands,マーシャル諸島
Mauritania,モーリタニア
Mauritius,モーリシャス
Mexico,メキシコ
Micronesia,ミクロネシア
Moldova,モルドバ
Monaco,モナコ
Mongolia,モンゴル
Montenegro,モンテネグロ
Morocco,モロッコ
Mozambique,モザンビーク
Myanmar,ミャンマー
Namibia,ナミビア
Nauru,ナウル
Nepal,ネパール
Netherlands,オランダ
New Zealand,ニュージーランド
Nicaragua,ニカラグア
Niger,ニジェール
Nigeria,ナイジェリア
North Korea,北朝鮮
North Macedonia,北マケドニア
Norway,ノルウェー
Oman,オマーン
Pakistan,パキスタン
Palau,パラオ
Panama,パナマ
Papua New Guinea,パプアニューギニア
Paraguay,パラグアイ
Peru,ペルー
Philippines,フィリピン
Poland,ポーランド
Portugal,ポルトガル
Qatar,カタール
Romania,ルーマニア
Russia,ロシア
Rwanda,ルワンダ
Saint Kitts and Nevis,セントクリストファー・ネーヴィス
Saint Lucia,セントルシア
Saint Vincent and the Grenadines,セントビンセントおよびグレナディーン諸島
Samoa,サモア
San Marino,サンマリノ
Sao Tome and Principe,サントメ・プリンシペ
Saudi Arabia,サウジアラビア
Senegal,セネガル
Serbia,セルビア
Seychelles,セーシェル
Sierra Leone,シエラレオネ
Singapore,シンガポール
Slovakia,スロバキア
Slovenia,スロベニア
Solomon Islands,ソロモン諸島
Somalia,ソマリア
South Africa,南アフリカ
South Korea,韓国
South Sudan,南スーダン
Spain,スペイン
Sri Lanka,スリランカ
Sudan,スーダン
Suriname,スリナム
Sweden,スウェーデン
Switzerland,スイス
Syria,シリア
Taiwan,台湾
Tajikistan,タジキスタン
Tanzania,タンザニア
Thailand,タイ
Timor-Leste,東ティモール
Togo,トーゴ
Tonga,トンガ
Trinidad and Tobago,トリニダード・トバゴ
Tunisia,チュニジア
Turkey,トルコ
Turkmenistan,トルクメニスタン
Tuvalu,ツバル
Uganda,ウガンダ
Ukraine,ウクライナ
United Arab Emirates,アラブ首長国連邦
United Kingdom,イギリス
United States,アメリカ合衆国
Uruguay,ウルグアイ
Uzbekistan,ウズベキスタン
Vanuatu,バヌアツ
Vatican City,バチカン市国
Venezuela,ベネズエラ
Vietnam,ベトナム
Yemen,イエメン
Zambia,ザンビア
Zimbabwe,ジンバブエ
Hong Kong,香港
Macau,マカオ
Kosovo,コソボ
Palestine,パレスチナ
Åland Islands,オーランド諸島
Guernsey,ガーンジー
Jersey,ジャージー
Isle of Man,マン島
Faroe Islands,フェロー諸島
Greenland,グリーンランド
Reunion,レユニオン
Mayotte,マヨット
French Guiana,仏領ギアナ
Martinique,マルティニーク
Guadeloupe,グアドループ
New Caledonia,ニューカレドニア
Puerto Rico,プエルトリコ
Guam,グアム
U.S. Virgin Islands,米領ヴァージン諸島
British Virgin Islands,英領ヴァージン諸島
Bermuda,バミューダ
Cayman Islands,ケイマン諸島
Gibraltar,ジブラルタル
